Variable	Attribute	Value	Compliance checking rules
time
	type	float64
	dimension	time
	units	seconds since 1970-01-01 00:00:00
	standard_name	time
	long_name	Time (seconds since 1970-01-01)
	axis	T
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	calendar	standard

latitude
	type	float32
	dimension	latitude
	units	degrees_north
	standard_name	latitude
	long_name	Latitude
	_FillValue	-1.00E+20
	axis	Y
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean

longitude			Detect longitudes < -180 OR > 180: WARN: we recommend setting longitudes from -180 to 180
	type	float32
	dimension	longitude
	units	degrees_east
	standard_name	longitude
	long_name	Longitude
	_FillValue	-1.00E+20
	axis	X
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean

platform_course
	type	float32
	dimension	time
	units	degree
	standard_name	platform_course
	long_name	Direction in which the platform is travelling
	_FillValue	-1.00E+20
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean
	coordinates	latitude longitude

platform_orientation
	type	float32
	dimension	time
	units	degree
	standard_name	platform_orientation
	long_name	Direction in which "front" of platform is pointing
	_FillValue	-1.00E+20
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean
	coordinates	latitude longitude

platform_speed_wrt_ground
	type	float32
	dimension	time
	units	m s-1
	standard_name	platform_speed_wrt_ground
	long_name	Platform speed with respect to ground
	_FillValue	-1.00E+20
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean
	coordinates	latitude longitude

instrument_pitch_angle
	type	float32
	dimension	time
	units	degree
	standard_name		instrument_pitch_angle
	long_name	Instrument Pitch Angle
	_FillValue	-1.00E+20
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	cell_methods	time: mean
	coordinates	latitude longitude

instrument_pitch_rate
	type	float32
	dimension	time
	units	degree s-1
	standard_name		instrument_pitch_rate
	long_name	Instrument Pitch Angle Rate of Change
	_FillValue	-1.00E+20
