Instrument	Old Instrument Name	New Instrument Name	Descriptor	CEDA Instrument Record URL	Manufacturer	Model No.	Scientist	Data Product(s)	Domains
Boundary Layer Wind profiler	aber-radar-1290mhz, man-radar-1290mhz	ncas-radar-wind-profiler-1	NCAS Mobile Radar Wind Profiler unit 1	NEEDS INVESTIGATION	Degreane Horizon	Degrewind PCL1300	Emily Norton	snr-winds	land
Ceilometer		ncas-ceilometer-4	NCAS Lidar Ceilometer unit 4	NEEDS INVESTIGATION	campbell	cs135	Emily Norton	aerosol-backscatter, |cloud-base	land, sea
Ozone lidar	aber-o3lidar, man-o3lidar	ncas-o3-lidar-1	NCAS Mobile O3 lidar unit 1	NEEDS INVESTIGATION	bespoke	bespoke	Hugo Ricketts	aerosol-extinction, |o3-concentration-profile	land, sea
Radio sonde unit1	man-radiosonde	ncas-radiosonde-1	NCAS Vaisala Sounding Station unit 1	http://catalogue.ceda.ac.uk/uuid/8dff23de47ae4557a8989be0c05ed708	Vaisala	MW41|For older data this can also be MW31 or MW21	Hugo Ricketts	sonde	land, sea
Rapid sonde unit1		ncas-rapidsonde-1	NCAS Windsond Sounding Station unit 1	NEEDS INVESTIGATION	Windsond	Not appicable	Hugo Ricketts	sonde	land, sea
Aircraft 3V - CPI	man-3v-cpi	ncas-3v-cpi-1	NCAS 3 View Cloud Particle Imager unit 1	http://catalogue.ceda.ac.uk/uuid/f75cf07afe594c08aebee4c73b5a482b	Spec. Inc, USA	3V-CPI	James Dorsey	images - data product not defined	land, air, sea
Aircraft CPI	man-cpi	ncas-cpi-1	NCAS Cloud Particle Imager unit 1	http://catalogue.ceda.ac.uk/uuid/723bb5e1edad4ad48f927759bdcf10cb	Spec. Inc, USA	CPI	James Dorsey	images - data product not defined	land, air, sea
Aircraft CAPS-DPOL	man-caps	ncas-caps-1	NCAS Cloud & Aerosol Particle Spectrometer unit 1	http://catalogue.ceda.ac.uk/uuid/77b018eb8f4648f283ec47d087cb2dea	Droplet Measurement Technology,	CAPS	James Dorsey	aerosol-size-distribution, |liquid-water-content	land, air, sea
Aircraft AMS C-TOF-AMS	man-ams	ncas-aerosol-mass-spec-1	NCAS Aerosol Mass Spectrometer unit 1	http://catalogue.ceda.ac.uk/uuid/98ab5fc9e63c403792e90e6b9b69e3c8	Aerodyne Research Inc	C-TOF-AMS	Paul I Williams	aerosol-no3-so4-nh3-org-concentration	land, air, sea
High Volume Precipitation Specrometer Version 3 (HVPS - 3)		ncas-hvps3-1	NCAS High Volume Precipitation Spectometer unit 1		Spec. Inc, USA	HVPS version 3	James Dorsey		land, air, sea
APS -1	uom-3321aps-1	ncas-aps-1	NCAS Aerodynamic Particle Sizer unit 1	NEEDS INVESTIGATION	TSI	3321	Paul I Williams	aerosol-size-distribution	land, sea
APS -2	uom-3321aps-2	ncas-aps-2	NCAS Aerodynamic Particle Sizer unit 2	NEEDS INVESTIGATION	TSI	3321	Paul I Williams	aerosol-size-distribution	land, sea
CPC 3010 1	uom-3010cpc-1	ncas-cpc-3010-1	NCAS 3010 Condensation Particle Counter unit 1	NEEDS INVESTIGATION	TSI	3010	Paul I Williams	aerosol-concentration	land, air, sea
CPC 3010 2	uom-3010cpc-2	ncas-cpc-3010-2	NCAS 3010 Condensation Particle Counter unit 2	NEEDS INVESTIGATION	TSI	3010	Paul I Williams	aerosol-concentration	land, air, sea
CPC 3762 1		ncas-cpc-3762-1	NCAS 3762 Condensation Particle Counter unit 1	NEEDS INVESTIGATION	TSI	3762	Paul I Williams	aerosol-concentration	land, air, sea
CPC 3762 2		ncas-cpc-3762-2	NCAS 3762 Condensation Particle Counter unit 2	NEEDS INVESTIGATION	TSI	3762	Paul I Williams	aerosol-concentration	land, air, sea
CPC 3762 3		ncas-cpc-3762-3	NCAS 3762 Condensation Particle Counter unit 3	NEEDS INVESTIGATION	TSI	3762	Paul I Williams	aerosol-concentration	land, air, sea
CPC 3762 4		ncas-cpc-3762-4	NCAS 3762 Condensation Particle Counter unit 4	NEEDS INVESTIGATION	TSI	3762	Paul I Williams	aerosol-concentration	land, air, sea
Grimm OPC	uom-grimm	ncas-opc-1	NCAS Optical Particle Counter unit 1	NEEDS INVESTIGATION	Grimm Aerosol Technik	Dust Monitor 1.108	Paul I Williams	aerosol-size-distribution	land, air, sea
SMPS - 1	man-smps-1	ncas-smps-1	NCAS Scanning Mobility Particle Spectrometer unit 1	NEEDS INVESTIGATION	TSI	3936	Paul I Williams	aerosol-size-distribution	land, air, sea
SMPS - 2	man-smps-2	ncas-smps-2	NCAS Scanning Mobility Particle Spectrometer unit 2	NEEDS INVESTIGATION	TSI	3936	Paul I Williams	aerosol-size-distribution	land, air, sea
WAO - Met		ncas-aws-6	NCAS Automatic Weather Station unit 6	NEEDS INVESTIGATION	Gill	MetPak	Grant Forster	surface-met	land
WAO - ceilometer		ncas-ceilometer-2	NCAS Lidar Ceilometer unit 2	NEEDS INVESTIGATION	Vaisala	ct25k	Grant Forster	aerosol-backscatter, |cloud-base	land
WAO - sodar		ncas-sodar-rass-1	NCAS Sodar Rass unit 1	NEEDS INVESTIGATION	Metek	PCS.2000 RASS	Grant Forster	acoustic-backscatter-winds, |boundary-layer-temperature	land
WAO - NOx		ncas-42i-nox-2	NCAS Thermo 42i NOX Monitor unit 2	NEEDS INVESTIGATION	Thermo	42i	Grant Forster	nox-noxy-concentration	land
