Variable	Attribute	Value	Proposed name	example value	notes
altitude
	type	float32
	dimension	altitude
	units	m
	standard_name	altitude
	long_name	Geometric height above geoid (WGS84).
	_FillValue	-1.00E+20
	axis	Z
	valid_min	<derived from file>			centre of lowest gate + platform deployment height
	valid_max	<derived from file>			centre of highest gate + platform deployment height
	coordinates	latitude longitude

attenuated_aerosol_backscatter_coefficient
	type	float32
	dimension	time, altitude
	units	m-1 sr-1
	standard_name		attenuated_aerosol_backscatter_coefficient
	long_name	Attenuated Aerosol Backscatter Coefficient
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

range_squared_corrected_backscatter_power
	type	float32
	dimension	time, altitude
	units	1
	standard_name		range_squared_corrected_backscatter_power
	long_name	Range Squared Corrected Backscatter Power (ln(arbitrary raw data unit))
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

laser_pulse_energy
	type	float32
	dimension	time
	units	%
	standard_name		laser_pulse_energy
	long_name	Laser Pulse Energy (% of maximum)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

laser_temperature
	type	float32
	dimension	time
	units	K
	standard_name		laser_temperature
	long_name	Laser Temperature
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

sensor_zenith_angle
	type	float32
	dimension	time
	units	degree
	standard_name
	long_name	Sensor Zenith Angle (from vertical)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

window_contamination
	type	float32
	dimension	time
	units	mV
	standard_name		window_contamination
	long_name	Window Contamination (mV as measured by ADC: 0 - 2500)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

background_light
	type	float32
	dimension	time
	units	mV
	standard_name		background_light
	long_name	Background Light (mV as measured by ADC: 0 - 2500)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

qc_flag
	type	byte
	dimension	time, index
	units	1
	standard_name
	long_name	Data Quality flag
	flag_values	0b,1b, 2b, 3b, 4b
	flag_meanings	not_used|good_data|bad_data_attenuated_aerosol_backscatter_coefficient_outside_instrument_operational_range|bad_data_gate_index_exceeds_number_of_measurement_gates_in_use|suspect_data_time_stamp_error
