Variable	Attribute	Value	Proposed name	example vale	notes
ambient_aerosol_particle_diameter
	type	float32
	dimension	time, index
	units	um
	standard_name	ambient_aerosol_particle_diameter
	long_name	Ambient Aerosol Particle Diameter
	valid_min	<derived from file>
	valid_max	<derived from file>
	coordinates	latitude longitude

ambient_aerosol_size_distribution
	type	float32
	dimension	time, index
	units	cm3-1 um-1
	standard_name		ambient_aerosol_size_distribution
	long_name	Ambient Aerosol Size Distribution
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: ????		mean or point
	coordinates	latitude longitude

qc_flag
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |suspect_data_bad_data_to_be_defined|suspect_data_time_stamp_error
