Variable	Attribute	Value	Proposed name	example value	notes
mole_fraction_of_carbon_monoxide_in_air
	type	float32
	dimension	time
	units			1|1e-3|1e-6|1e-9|1e-12	Units must be given
	practical_units			mmol mol-1|micro mol mol-1|nmol mol-1|pmol mol-1	Practical_units must be given and must match units multiplier
	standard_name	mole_fraction_of_carbon_monoxide_in_air
	long_name	Mole Fraction of Carbon Monoxide in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	CO

mass_fraction_of_carbon_monoxide_in_air
	type	float32
	dimension	time
	units			1|1e-3|1e-6|1e-9|1e-12	Units must be given
	practical_units			ppm|ppb|ppt	Practical_units must be given and must match units multiplier
	standard_name	mass_fraction_of_carbon_monoxide_in_air
	long_name	Mass Fraction of Carbon Monoxide in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	CO

mole_concentration_of_carbon_monoxide_in_air
	type	float32
	dimension	time
	units	mol m-3
	standard_name	mole_concentration_of_carbon_monoxide_in_air
	long_name	Mole Concentration of Carbon Monoxide in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	CO

mass_concentration_of_carbon_monoxide_in_air
	type	float32
	dimension	time
	units	kg m-3
	standard_name	mass_concentration_of_carbon_monoxide_in_air
	long_name	Mass Concentration of Carbon Monoxide in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	CO

qc_flag
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |suspect_data_data_not_quality_controlled|bad_data_do_not_use
