Variable	Attribute	Value	Proposed name	example value	notes
range
	type	float32
	dimension	time, index_of_range			For fixed scans time, index_of_range
	units	m
	standard_name
	long_name	Distance of measurement volume centre point from instrument.
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	coordinates	latitude longitude

sensor_azimuth_angle
	type	float32
	dimension	time			For fixed scans time,
	units	degree
	standard_name	sensor_azimuth_angle
	long_name	Scanning head azimuth angle
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	coordinates	latitude longitude

sensor_view_angle
	type	float32
	dimension	time			For fixed scans time,
	units	degree
	standard_name	sensor_view_angle
	long_name	Scanning head elevation angle
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	coordinates	latitude longitude

sensor_azimuth_angle_earth_frame
	type	float32
	dimension	time
	units	degree
	standard_name		sensor_azimuth_angle_earth_frame
	long_name	Scanning head azimuth angle Earth Frame
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	coordinates	latitude longitude

sensor_view_angle_earth_frame
	type	float32
	dimension	time
	units	degree
	standard_name		sensor_view_angle_earth_frame
	long_name	Scanning head elevation angle Earth Frame
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	coordinates	latitude longitude

attenuated_aerosol_backscatter_coefficient_co
	type	float32
	dimension	time, index_of_range			For fixed scans time, index_of_range
	units	m-1 sr-1
	standard_name		attenuated_aerosol_backscatter_coefficient_co
	long_name	Attenuated backscatter coefficient (Planar Polarised)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

signal_to_noise_ratio_plus_1_co
	type	float32
	dimension	time, index_of_range			For fixed scans dimesion is just time, index_of_range
	units	1
	standard_name		signal_to_noise_ratio_plus_1_co
	long_name	Signal to Noise Ratio: SNR+1 (Planar Polarised)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

attenuated_aerosol_backscatter_coefficient_cr
	type	float32
	dimension	time, index_of_range			For fixed scans time, index_of_range
	units	m-1 sr-1
	standard_name		attenuated_aerosol_backscatter_coefficient_cr
	long_name	Attenuated backscatter coefficient (Cross Polarised)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

signal_to_noise_ratio_plus_1_cr
	type	float32
	dimension	time, index_of_range
	units	1
	standard_name		signal_to_noise_ratio_plus_1_cr
	long_name	Signal to Noise Ratio: SNR+1 (Cross Polarised)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

depolarisation_ratio
	type	float32
	dimension	time, index_of_range			For fixed scans time, index_of_range
	units	1
	standard_name		depolarisation_ratio
	long_name	Depolarisation Ratio
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

qc_flag_attenuated_aerosol_backscatter_coefficient_co
	type	byte
	dimension	time, index_of_range			For fixed scans time, index_of_range
	units	1
	standard_name
	long_name	Data Quality flag:  Attenuated backscatter coefficient (Planar Polarised)
	flag_values	0b,1b, 2b, 3b, 4b, 5b, 6b, 7b, 8b, 9b
	flag_meanings	not_used|good_data|snr_less_than_3|snr_less_than_2|snr_less_than_1|doppler_velocity_less_out_of_+-19ms-1_range|user_changed_number_of_gates_during_the_day_so padding_with_fill_value|wind_profiles_are_clipped_by_manufacturer_software_so padding_wih_fill_value|padded_crosspolarised_or_copolarised_data_to_match_the_other_in_dimension_size|bad_data_gate_index_exceeds_number_of_measurement_gates_in_use|crosspolarised_and_copolarised_data_do_not_have_matching_ranges_or_directions

qc_flag_attenuated_aerosol_backscatter_coefficient_cr
	type	byte
	dimension	time, index_of_range
	units	1
	standard_name
	long_name	Data Quality flag:  Attenuated backscatter coefficient (Cross Polarised)
	flag_values	0b,1b, 2b, 3b, 4b, 5b, 6b, 7b, 8b, 9b
	flag_meanings	not_used|good_data|snr_less_than_3|snr_less_than_2|snr_less_than_1|doppler_velocity_less_out_of_+-19ms-1_range|user_changed_number_of_gates_during_the_day_so padding_with_fill_value|wind_profiles_are_clipped_by_manufacturer_software_so padding_wih_fill_value|padded_crosspolarised_or_copolarised_data_to_match_the_other_in_dimension_size|bad_data_gate_index_exceeds_number_of_measurement_gates_in_use|crosspolarised_and_copolarised_data_do_not_have_matching_ranges_or_directions

qc_flag_depolarisation_ratio
	type	byte
	dimension	time, index_of_range
	units	1
	standard_name
	long_name	Data Quality flag:  Depolarisation R
	flag_values	0b,1b, 2b, 3b, 4b, 5b, 6b, 7b, 8b, 9b
	flag_meanings	not_used|good_data|snr_less_than_3|snr_less_than_2|snr_less_than_1|doppler_velocity_less_out_of_+-19ms-1_range|user_changed_number_of_gates_during_the_day_so padding_with_fill_value|wind_profiles_are_clipped_by_manufacturer_software_so padding_wih_fill_value|padded_crosspolarised_or_copolarised_data_to_match_the_other_in_dimension_size|bad_data_gate_index_exceeds_number_of_measurement_gates_in_use|crosspolarised_and_copolarised_data_do_not_have_matching_ranges_or_directions
