Variable	Attribute	Value	Proposed name	example value	notes
start_of_run
	type	float64
	dimension	time
	units	seconds since 1970-01-01 00:00:00
	standard_name		start_of_run
	long_name	Start of run (seconds since 1970-01-01 00:00:00)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	coordinates	latitude longitude

run_length
	type	float32
	dimension	time
	units	s
	standard_name		run_length
	long_name	Length of run
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	coordinates	latitude longitude

number_of_samples_in_run
	type	float32
	dimension	time
	units	1
	standard_name		number_of_samples_in_run
	long_name	Number of samples in run
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	coordinates	latitude longitude

buoyancy_flux
	type	float32
	dimension	time
	units	J m-2 s-1
	standard_name		buoyancy_flux
	long_name	Buoyancy Flux (rho.cp.<w'Ts'>)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: point
	coordinates	latitude longitude

kinematic_humidity_flux
	type	float32
	dimension	time
	units	kg kg-1 m s-1
	standard_name		kinematic_humidity_flux
	long_name	Kinematic Humidity Flux (<w'Q'>)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: point
	coordinates	latitude longitude

kinematic_sonic_temperature_flux
	type	float32
	dimension	time
	units	K m s-1
	standard_name		kinematic_sonic_temperature_flux
	long_name	Kinematic Sonic Temperature Flux (<w'Ts'>)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: point
	coordinates	latitude longitude

upward_sensible_heat_flux_in_air
	type	float32
	dimension	time
	units	W m-2
	standard_name	upward_sensible_heat_flux_in_air
	long_name	Sensible heat flux
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: point
	coordinates	latitude longitude

upward_latent_heat_flux_in_air
	type	float32
	dimension	time
	units	W m-2
	standard_name	upward_latent_heat_flux_in_air
	long_name	Latent heat flux
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
