Variable	Attribute	Value	Proposed name	example value	notes
integrated_water_vapour
	type	float32
	dimension	time
	units	kg m-2
	standard_name		integrated_water_vapour
	long_name	Integrated Water Vapour
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

liquid_water_path
	type	float32
	dimension	time, altitude
	units	g m-2
	standard_name		liquid_water_path
	long_name	Liquid Water Path
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

qc_flag_surface_temperature
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Surface Temperature
	flag_values	0b,1b, 2b, 3b, 4b
	flag_meanings	not_used|good_data |bad_data_temperature_outside_sensor_operational_range|bad_data_gate_index_exceeds_number_of_measurement_gates_in_use|suspect_data_time_stamp_error

qc_flag_surface_relative_humidity
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Surface Relative Humidity
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_relative_humidity_outside_sensor_operational_range|suspect_data_time_stamp_error

qc_flag_surface_pressure
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Surface Pressure
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_pressure_outside_sensor_operational_range|suspect_data_time_stamp_error

qc_flag_precipitation
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Precipitation
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |suspect_data_precipitation_detected|suspect_data_time_stamp_error

qc_flag_channel_1_failure
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Receiver channel 1 failed
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_channel_failure|suspect_data_time_stamp_error

qc_flag_channel_2_failure
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Receiver channel 2 failed
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_channel_failure|suspect_data_time_stamp_error

qc_flag_channel_3_failure
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Receiver channel 3 failed
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_channel_failure|suspect_data_time_stamp_error

qc_flag_channel_4_failure
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Receiver channel 4 failed
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_channel_failure|suspect_data_time_stamp_error

qc_flag_channel_5_failure
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Receiver channel 5 failed
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_channel_failure|suspect_data_time_stamp_error

qc_flag_channel_6_failure
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Receiver channel 6 failed
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_channel_failure|suspect_data_time_stamp_error

qc_flag_channel_7_failure
	type	int32
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Receiver channel 7 failed
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_channel_failure|suspect_data_time_stamp_error

qc_flag_channel_8_failure
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Receiver channel 8 failed
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_channel_failure|suspect_data_time_stamp_error

qc_flag_channel_9_failure
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Receiver channel 9 failed
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_channel_failure|suspect_data_time_stamp_error

qc_flag_channel_10_failure
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Receiver channel 10 failed
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_channel_failure|suspect_data_time_stamp_error

qc_flag_channel_11_failure
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Receiver channel 11 failed
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_channel_failure|suspect_data_time_stamp_error

qc_flag_channel_12_failure
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Receiver channel 12 failed
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_channel_failure|suspect_data_time_stamp_error

qc_flag_channel_13_failure
	type	int32
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Receiver channel 13 failed
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_channel_failure|suspect_data_time_stamp_error

qc_flag_channel_14_failure
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Receiver channel 14 failed
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |bad_data_channel_failure|suspect_data_time_stamp_error

qc_flag_t_receiver_temperature_stability
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Thermal stability of temperature receiver bank
	flag_values	0b,1b, 2b, 3b, 4b, 5b, 6b, 7b
	flag_meanings	not_used|good_data_temperature_stability_in_the_range_0_to_5mK|suspect_data_temperature_stability_in_the_range_5_to_10mK|suspect_data_temperature_stability_in_the_range_10_to_50mK|suspect_data_temperature_stability_in_the_range_50_to_100mK|suspect_data_temperature_stability_in_the_range_100_to_500mK|bad_data_temperature_stability_>500mK|suspect_data_time_stamp_error

qc_flag_rh_receiver_temperature_stability
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Thermal stability of moisture receiver bank
	flag_values	0b,1b, 2b, 3b, 4b, 5b, 6b, 7b
	flag_meanings	not_used|good_data_temperature_stability_in_the_range_0_to_5mK|suspect_data_temperature_stability_in_the_range_5_to_10mK|suspect_data_temperature_stability_in_the_range_10_to_50mK|suspect_data_temperature_stability_in_the_range_50_to_100mK|suspect_data_temperature_stability_in_the_range_100_to_500mK|bad_data_temperature_stability_>500mK|suspect_data_time_stamp_error
