Variable	Attribute	Value	Proposed name	example value	notes
cloud_liquid_water_content
	type	float32
	dimension	time
	units	g m-3
	standard_name
	long_name	Cloud Liquid Water Content		cloud_liquid_water_content
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude

qc_flag
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag
	flag_values	0b,1b, 2b
	flag_meanings	not_used|good_data |bad_data_do not_use
