Variable	Attribute	Value	Proposed name	example value	notes
altitude
	type	float32
	dimension	time, index
	units	m
	standard_name	altitude
	long_name	Geometric height above geoid (WGS84).
	_FillValue	-1.00E+20
	axis	Z
	valid_min	<derived from file>			centre of lowest gate + platform deployment height
	valid_max	<derived from file>			centre of highest gate + platform deployment height
	coordinates	latitude longitude

wind_speed
	type	float32
	dimension	time, index
	units	m s-1
	standard_name	wind_speed
	long_name	Wind speed
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

wind_from_direction
	type	float32
	dimension	time, index
	units	degree
	standard_name	wind_from_direction
	long_name	Wind Direction
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

qc_flag
	type	byte
	dimension	time, index
	units	1
	standard_name
	long_name	Data Quality flag
	flag_values	0b,1b, 2b, 3b, 4b, 5b, 6b, 7b, 8b, 9b
	flag_meanings	not_used|good_data|bad_data_data_values_outside_measurement_range|bad_data_signal_below_instrument _threshold|suspect_data_line_of_sight_radial_velocity_ -19m_s-1_<> _19m_s-1|suspect_data_line_of_sight_radial_velocity_wind_shear_-5m_s-1_<>_5m_s-1|suspect_data_instrument_internal_temperature_outside_operational_range_low _(15C)|suspect_data_Instrument_internal_temperature_outside_operational_range_high_(40C)|bad_data_gate_index_exceeds_number_of_measurement_gates_in_use|suspect_data_time_stamp_error
