Variable	Attribute	Value	Proposed name	example value	notes
mole_fraction_of_nitric_oxide_in_air
	type	float32
	dimension	time
	units			1|1e-3|1e-6|1e-9|1e-12	Units must be given
	practical_units			mmol mol-1|micro mol mol-1|nmol mol-1|pmol mol-1	Practical_units must be given and must match units multiplier
	standard_name			mole_fraction_of_nitric_oxide_in_air
	long_name	Mole Fraction of Nitric Oxide in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	NO

mass_fraction_of_nitric_oxide_in_air
	type	float32
	dimension	time
	units			1|1e-3|1e-6|1e-9|1e-12	Units must be given
	practical_units			ppm|ppb|ppt	Practical_units must be given and must match units multiplier
	standard_name			mass_fraction_of_nitric_oxide_in_air
	long_name	Mass Fraction of Nitric Oxide in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	NO

mole_concentration_of_nitric_oxide_in_air
	type	float32
	dimension	time
	units	mol m-3
	standard_name			mole_concentration_of_nitric_oxide_in_air
	long_name	Mole Concentration of Nitric Oxide in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	NO

mass_concentration_of_nitric_oxide_in_air
	type	float32
	dimension	time
	units	kg m-3
	standard_name			mass_concentration_of_nitric_oxide_in_air
	long_name	Mass Concentration of Nitric Oxide in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	NO

mole_fraction_of_nitrogen_dioxide_in_air
	type	float32
	dimension	time
	units			1|1e-3|1e-6|1e-9|1e-12	Units must be given
	practical_units			mmol mol-1|micro mol mol-1|nmol mol-1|pmol mol-1	Practical_units must be given and must match units multiplier
	standard_name	mole_fraction_of_nitrogen_dioxide_in_air
	long_name	Mole Fraction of Nitrogen Dioxide in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	NO2

mass_fraction_of_nitrogen_dioxide_in_air
	type	float32
	dimension	time
	units			1|1e-3|1e-6|1e-9|1e-12	Units must be given
	practical_units			ppm|ppb|ppt	Practical_units must be given and must match units multiplier
	standard_name	mass_fraction_of_nitrogen_dioxide_in_air
	long_name	Mass Fraction of Nitrogen Dioxide in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	NO2

mole_concentration_of_nitrogen_dioxide_in_air
	type	float32
	dimension	time
	units	mol m-3
	standard_name	mole_concentration_of_nitrogen_dioxide_in_air
	long_name	Mole Concentration of Nitrogen Dioxide in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	NO2

mass_concentration_of_nitrogen_dioxide_in_air
	type	float32
	dimension	time
	units	kg m-3
	standard_name	mass_concentration_of_nitrogen_dioxide_in_air
	long_name	Mass Concentration of Nitrogen Dioxide in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	NO2

mole_fraction_of_nox_expressed_as_nitrogen_in_air
	type	float32
	dimension	time
	units			1|1e-3|1e-6|1e-9|1e-12	Units must be given
	practical_units			mmol mol-1|micro mol mol-1|nmol mol-1|pmol mol-1	Practical_units must be given and must match units multiplier
	standard_name	mole_fraction_of_nox_expressed_as_nitrogen_in_air
	long_name	Mole Fraction of NOx expressed as nitrogen in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	NOx

mass_fraction_of_nox_expressed_as_nitrogen_in_air
	type	float32
	dimension	time
	units			1|1e-3|1e-6|1e-9|1e-12	Units must be given
	practical_units			ppm|ppb|ppt	Practical_units must be given and must match units multiplier
	standard_name	mass_fraction_of_nox_expressed_as_nitrogen_in_air
	long_name	Mass Fraction of NOx expressed as nitrogen in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	NOx

mole_concentration_of_nox_expressed_as_nitrogen_in_air
	type	float32
	dimension	time
	units	mol m-3
	standard_name	mole_concentration_of_nox_expressed_as_nitrogen_in_air
	long_name	Mole Concentration of NOx expressed as nitrogen in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	NOx

mass_concentration_of_nox_expressed_as_nitrogen_in_air
	type	float32
	dimension	time
	units	kg m-3
	standard_name	mass_concentration_of_nox_expressed_as_nitrogen_in_air
	long_name	Mass Concentration of NOx expressed as nitrogen in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	NOx


mole_fraction_of_noy_expressed_as_nitrogen_in_air
	type	float32
	dimension	time
	units			1|1e-3|1e-6|1e-9|1e-12	Units must be given
	practical_units			mmol mol-1|micro mol mol-1|nmol mol-1|pmol mol-1	Practical_units must be given and must match units multiplier
	standard_name			mole_fraction_of_noy_expressed_as_nitrogen_in_air
	long_name	Mole Fraction of NOy expressed as nitrogen in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	NOy

mass_fraction_of_noy_expressed_as_nitrogen_in_air
	type	float32
	dimension	time
	units			1|1e-3|1e-6|1e-9|1e-12	Units must be given
	practical_units			ppm|ppb|ppt	Practical_units must be given and must match units multiplier
	standard_name			mass_fraction_of_noy_expressed_as_nitrogen_in_air
	long_name	Mass Fraction of NOy expressed as nitrogen in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	NOy

mole_concentration_of_noy_expressed_as_nitrogen_in_air
	type	float32
	dimension	time
	units	mol m-3
	standard_name			mole_concentration_of_noy_expressed_as_nitrogen_in_air
	long_name	Mole Concentration of NOy expressed as nitrogen in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	NOy

mass_concentration_of_noy_expressed_as_nitrogen_in_air
	type	float32
	dimension	time
	units	kg m-3
	standard_name			mass_concentration_of_noy_expressed_as_nitrogen_in_air
	long_name	Mass Concentration of NOy expressed as nitrogen in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude
	chemical_species	NOy

qc_flag_no
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: NO
	flag_values	0b,1b, 2b
	flag_meanings	not_used|good_data |bad_data_do_not_use

qc_flag_no2
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: NO2
	flag_values	0b,1b, 2b
	flag_meanings	not_used|good_data |bad_data_do_not_use

qc_flag_nox
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: NOx
	flag_values	0b,1b, 2b
	flag_meanings	not_used|good_data |bad_data_do_not_use

qc_flag_noy
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: NOy
	flag_values	0b,1b, 2b
	flag_meanings	not_used|good_data |bad_data_do_not_use
