Variable	Attribute	Value	Proposed name	example value	notes
molecular_oxygen_molecular_nitrogen_ratio_in_air
	type	float32
	dimension	time
	units	per meg
	standard_name		molecular_oxygen_molecular_nitrogen_ratio_in_air
	long_name	O2/N2 ratio in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude

qc_flag
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality Flag
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |suspect_data_gas_concentration_outside_instrument_operational_range|suspect_data_time_stamp_error
