Variable	Attribute	Value	Proposed name	example value	notes
altitude
	type	float32
	dimension	altitude
	units	m
	standard_name	altitude
	long_name	Geometric height above geoid (WGS84).
	_FillValue	-1.00E+20
	axis	Z
	valid_min	<derived from file>			centre of lowest gate + platform deployment height
	valid_max	<derived from file>			centre of highest gate + platform deployment height
	coordinates	latitude longitude

rainfall_rate
	type	float32
	dimension	time, altitude
	units	mm hr-1
	standard_name	rainfall_rate
	long_name	Rainfall Rate
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

rain_liquid_water_content
	type	float32
	dimension	time, altitude
	units	g m-3
	standard_name		rain_liquid_water_content
	long_name	Rain Liquid Water Content
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

rainfall_velocity
	type	float32
	dimension	time, altitude
	units	m s-1
	standard_name		rainfall_velocity
	long_name	Rainfall Velocity
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

radar_reflectivity
	type	float32
	dimension	time, altitude
	units	dBZ
	standard_name		radar_reflectivity
	long_name	Radar Reflectivity (Z)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

attenuated_radar_reflectivity
	type	float32
	dimension	time, altitude
	units	dBZ
	standard_name		attenuated_radar_reflectivity
	long_name	Attenuated Radar Reflectivity (z)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

path_integrated_attenuation
	type	float32
	dimension	time, altitude
	units	dB
	standard_name		path_integrated_attenuation
	long_name	Path Integrated Attenuation
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

qc_flag
	type	byte
	dimension	time, altitude
	units	1
	standard_name
	long_name	Data Quality flag
	flag_values	0b,1b, 2b, 3b, 4b, 5b, 6b, 7b, 8b
	flag_meanings	not_used|good_data |suspect_data_zero_radar_return|bad_data_rainfall_rate_<_0_mm_hr-1|suspect_data_rainfall_rate_>_300_mm_hr-1|bad_data_rainfall_velocity_<_0_m_s-1|good_data_rainfall_rate_=_0_m_s-1|bad_data_gate_index_exceeds_number_of_measurement_gates_in_use|suspect_data_time_stamp_error
