Variable	Attribute	Value	Proposed name	example value	notes
altitude
	type	float32
	dimension	time, index_range
	units	m
	standard_name	altitude
	long_name	Geometric height above geoid (WGS84).
	_FillValue	-1.00E+20
	axis	Z
	valid_min	<derived from file>			centre of lowest gate + platform deployment height
	valid_max	<derived from file>			centre of highest gate + platform deployment height
	coordinates	latitude longitude

spectral_reflectivity
	type	float32
	dimension	time, index_range, index_bin
	units	dB
	standard_name		spectral_reflectivity
	long_name	Spectral Reflectivity
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

rain_drop_diameter
	type	float32
	dimension	time, index_range, index_bin
	units	mm
	standard_name		rain_drop_diameter
	long_name	Rain Drop Diameter
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

drop_size_distribution
	type	float32
	dimension	time, index_range, index_bin
	units	m-3 mm-1
	standard_name		drop_size_distribution
	long_name	Rain Size Distribution
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

qc_flag
	type	byte
	dimension	time, index_range, index_bin
	units	1
	standard_name
	long_name	Data Quality flag
	flag_values	0b,1b, 2b, 3b, 4b, 5b, 6b, 7b, 8b
	flag_meanings	not_used|good_data |suspect_data_zero_radar_return|bad_data_rainfall_rate_<_0_mm_hr-1|suspect_data_rainfall_rate_>_300_mm_hr-1|bad_data_rainfall_velocity_<_0_m_s-1|good_data_rainfall_rate_=_0_m_s-1|bad_data_gate_index_exceeds_number_of_measurement_gates_in_use|suspect_data_time_stamp_error
