Variable	Attribute	Value	Proposed Name	Example values	notes
mole_fraction_of_???_in_air

	type	float32
	dimension	time
	units	?		1|1e-3|1e-6|1e-9|1e-12	Units must be given
	practical_units	?		ppm|ppb|ppt|mmol mol-1|micro mol mol-1|nmol mol-1|pmol mol-1	Practical_units must be given and must match units multiplier
	standard_name	mole_fraction_of_???_in_air	mole_fraction_of_???_in_air
	long_name	Mole Fraction of ??? in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: ????		mean or point
	coordinates	latitude longitude
	chemical_species	??????

qc_flag_???
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: ???
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |suspect_data_contact_creator|bad_data_do_not_use










































































































































































CH2BrCl_qc_flag
	name	qc_flag_ch2brcl
	type	int
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: CH2BrCl
	valid_min	1
	valid_max	3
