Variable	Attribute	Value	Compliance checking rules
time
	name	time
	type	float64
	dimension	time
	units	seconds since 1970-01-01 00:00:00
	standard_name	time
	long_name	Time (seconds since 1970-01-01 00:00:00)
	axis	T
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
	calendar	standard

latitude
	name	latitude
	type	float32
	dimension	latitude
	units	degrees_north
	standard_name	latitude
	long_name	Latitude

longitude			Detect longitudes < -180 OR > 180: WARN: we recommend setting longitudes from -180 to 180
	name	longitude
	type	float32
	dimension	longitude
	units	degrees_east
	standard_name	longitude
	long_name	Longitude

day_of_year
	name	day_of_year
	type	float32
	dimension	time
	units	1
	standard_name		No standard_name: this is intentional
	long_name	Day of Year
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values

year
	name	year
	type	int32
	dimension	time
	units	1
	standard_name		No standard_name: this is intentional
	long_name	Year
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values

month
	name	month
	type	int32
	dimension	time
	units	1
	standard_name		No standard_name: this is intentional
	long_name	Month
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values

day
	name	day
	type	int32
	dimension	time
	units	1
	standard_name		No standard_name: this is intentional
	long_name	Day
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values

hour
	name	hour
	type	int32
	dimension	time
	units	1
	standard_name		No standard_name: this is intentional
	long_name	Hour
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values

minute
	name	minute
	type	int32
	dimension	time
	units	1
	standard_name		No standard_name: this is intentional
	long_name	Minute
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values

second
	name	second
	type	float32
	dimension	time
	units	1
	standard_name		No standard_name: this is intentional
	long_name	Second
	valid_min	<derived from file>	Check against array values
	valid_max	<derived from file>	Check against array values
