Spreadsheet URL	Spreadsheet Name	Worksheet name	Column (or "ALL")	CV name	CV URL
https://docs.google.com/spreadsheets/d/1k7T2zuUfKvXAVfsQDDo4GI9FgOcMd_hJPzPEa62zRtY/edit#gid=450639249	Instrument Names & Data Products.xlsx	Grouped by Instrument	Instrument
			Manufacturer
			Model No.
			Scientist
			former name
			new name
			Data Product(s)
			Domains

		Grouped by Data Product	Data Product
			Instrument(s) - New
			Instrument(s) - Old
			Scientist
			Notes

		File Name Structure	Instrument
			data product
			option 1
			option 2

https://docs.google.com/spreadsheets/d/1KebXGwHFzCZIXsGHMQl51kwJZW4RCbE2p16HTQxvTps/edit#gid=0	Vocabularies.xlsx	Instrument Name & Descriptors
		Data Products	ALL	product	https://github.com/ncasuk/AMF_CVs/blob/master/AMF_CVs/AMF_product.json
		Platforms
		Creators

https://docs.google.com/spreadsheets/d/1khB3fLZXqpFlB1By4WH-XOq2DAHLMf9c2SzpDsKbwKQ/edit	Common.xlsx	Global Attributes
		Dimensions - Land
		Variables - Land
		Dimensions - Air
		Variables - Air
		Dimensions - Sea
		Variables - Sea
