Instrument	Manufacturer	Model No.	Scientist	former name	new name	Data Product(s)	Domains
MST Radar			David Hooper				land
CFARR KIT							land
Boundary Layer Wind profiler	Degreane Horizon	PCL1300	Emily Norton	aber-radar-1290mhz, |man-radar-1290mhz	ncas-radar-wind-profiler-1	snr-winds	land
Ceilometer	campbell	cs135	Emily Norton		ncas-ceilometer-4	aerosol-backscatter, |cloud-base	land, sea
Ozone lidar	bespoke	bespoke	Hugo Ricketts	aber-o3lidar, |man-o3lidar	ncas-o3-lidar-1	aerosol-extinction, |o3-concentration-profile	land, sea
Radio sonde unit1	Vaisala	MW41	Hugo Ricketts	man-radiosonde	ncas-radiosonde-1	sonde	land, sea
Rapid sonde unit1	Windsond	Not appicable	Hugo Ricketts		ncas-rapidsonde-1	sonde	land, sea
Aircraft 3V - CPI	Spec. Inc, USA	3V-CPI	James Dorsey	man-3v-cpi	ncas-3v-cpi-1	images - data product not defined	land, air, sea
Aircraft CPI	Spec. Inc, USA	CPI	James Dorsey	man-cpi	ncas-cpi-1	images - data product not defined	land, air, sea
Aircraft CAPS-DPOL	Droplet Measurement Technology,	CAPS	James Dorsey	man-caps	ncas-caps-1	aerosol-size-distribution, |liquid-water-content	land, air, sea
Aircraft AMS C-TOF-AMS	Aerodyne Research Inc	C-TOF-AMS	Paul I Williams	man-ams	ncas-aerosol-mass-spec-1	aerosol-no3-so4-nh3-org-concentration	land, air, sea
APS -1	TSI	3321	Paul I Williams	uom-3321aps-1	ncas-aps-1	aerosol-size-distribution	land, sea
APS -2	TSI	3321	Paul I Williams	uom-3321aps-2	ncas-aps-2	aerosol-size-distribution	land, sea
CPC 3010 1	TSI	3010	Paul I Williams	uom-3010cpc-1	ncas-cpc-3010-1	aerosol-concentration	land, air, sea
CPC 3010 2	TSI	3010	Paul I Williams	uom-3010cpc-2	ncas-cpc-3010-2	aerosol-concentration	land, air, sea
CPC 3762 1	TSI	3762	Paul I Williams		ncas-cpc-3762-1	aerosol-concentration	land, air, sea
CPC 3762 2	TSI	3762	Paul I Williams		ncas-cpc-3762-2	aerosol-concentration	land, air, sea
CPC 3762 3	TSI	3762	Paul I Williams		ncas-cpc-3762-3	aerosol-concentration	land, air, sea
