Variable	Attribute	Value	Proposed name	example value	notes
number_concentration_of_ambient_aerosol_particles_in_air
	name	number_concentration_of_ambient_aerosol_particles_in_air
	type	float32
	dimension	time
	units	cm-3
	standard_name	number_concentration_of_ambient_aerosol_particles_in_air
	long_name	Number Concentration of Ambient Aerosol Particles in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: ????		mean or point
	coordinates	latitude longitude

qc_flag
	name	qc_flag
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used good_data  suspect_data_bad_data_to_be_defined suspect_data_time_stamp_error
