Variable	Attribute	Value	Proposed name	example vale	notes
mass_concentration_of_nitrate_in_ambient_aerosol_particles_in_air
	name	mass_concentration_of_nitrate_in_ambient_aerosol_particles_in_air
	type	float32
	dimension	time
	units	ug cm3-1
	standard_name		mass_concentration_of_nitrate_in_ambient_aerosol_particles_in_air
	long_name	Mass concentration of NO3 component of ambient aerosol particles in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: ????		mean or point
	coordinates	latitude longitude
	chemical_species	NO3

mass_concentration_of_sulfate_in_ambient_aerosol_particles_in_air
	name	mass_concentration_of_sulfate_in_ambient_aerosol_particles_in_air
	type	float32
	dimension	time
	units	ug cm3-1
	standard_name		mass_concentration_of_sulfate_in_ambient_aerosol_particles_in_air
	long_name	Mass concentration of SO4 component of ambient aerosol particles in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: ????		mean or point
	coordinates	latitude longitude
	chemical_species	SO4

mass_concentration_of_ammonium_in_ ambient_aerosol_particles_in_air
	name	mass_concentration_of_ammonium_in_ ambient_aerosol_particles_in_air
	type	float32
	dimension	time
	units	ug cm3-1
	standard_name		mass_concentration_of_ammonium_in_ ambient_aerosol_particles_in_air
	long_name	Mass concentration of NH3 component of ambient aerosol particles in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: ????		mean or point
	coordinates	latitude longitude
	chemical_species	NH3

mass_concentration_of_organics_in_ ambient_aerosol_particles_in_air
	name	mass_concentration_of_organics_in_ ambient_aerosol_particles_in_air
	type	float32
	dimension	time
	units	ug cm3-1
	standard_name		mass_concentration_of_organics_in_ ambient_aerosol_particles_in_air
	long_name	Mass concentration of organic component of ambient aerosol particles in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: ????		mean or point
	coordinates	latitude longitude
	chemical_species	organic

qc_flag_no3
	name	qc_flag_no3
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: NO3
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used good_data  suspect_data_bad_data_to_be_defined suspect_data_time_stamp_error

qc_flag_so4
	name	qc_flag_so4
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: SO4
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used good_data  suspect_data_bad_data_to_be_defined suspect_data_time_stamp_error
qc_flag_nh3
	name	qc_flag_nh3
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: NH3
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used good_data  suspect_data_bad_data_to_be_defined suspect_data_time_stamp_error
qc_flag_org
	name	qc_flag_org
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: Organics
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used good_data  suspect_data_bad_data_to_be_defined suspect_data_time_stamp_error
