Variable	Attribute	Value	Proposed name	example value	notes
instrument_channel_wavelength
	name	instrument_channel_wavelength
	type	float32
	dimension	index
	units	nm
	standard_name		instrument_channel_wavelength
	long_name	Instrument Channel Wavelength
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	coordinates	latitude longitude

angstrom_exponent_of_ambient_aerosol_in_air
	name	angstrom_exponent_of_ambient_aerosol_in_air
	type	float32
	dimension	time, index
	units	1
	standard_name	angstrom_exponent_of_ambient_aerosol_in_air
	long_name	Angstrom Exponent of Ambient Aerosol in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: ????		mean or point
	coordinates	latitude longitude

atmosphere_optical_thickness_due_to_ambient_aerosol_particles
	name	atmosphere_optical_thickness_due_to_ambient_aerosol_particles
	type	float32
	dimension	time, index
	units	1
	standard_name	atmosphere_optical_thickness_due_to_ambient_aerosol_particles
	long_name	Atmosphere Optical Thickness Due to Ambient Aerosol Particles
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: ????		mean or point
	coordinates	latitude longitude

qc_flag
	name	qc_flag
	type	byte
	dimension	time, index
	units	1
	standard_name
	long_name	Data Quality flag
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used good_data  bad_data_suspect_data_to_be_defined suspect_data_time_stamp_error
