Variable	Attribute	Value	Proposed name	example value	notes
range
	name	range
	type	float32
	dimension	time, index_range
	units	m
	standard_name
	long_name	Distance of measurement volume centre point from instrument.
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	coordinates	latitude longitude

sensor_azimuth_angle
	name	sensor_azimuth_angle
	type	float32
	dimension	time, index_angle
	units	degree
	standard_name	sensor_azimuth_angle
	long_name	Scanning head azimuth angle
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	coordinates	latitude longitude

sensor_view_angle
	name	sensor_view_angle
	type	float32
	dimension	time, index_angle
	units	degree
	standard_name	sensor_view_angle
	long_name	Scanning head elevation angle
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	coordinates	latitude longitude

attenuated_aerosol_backscatter_coefficient_co
	name	attenuated_aerosol_backscatter_coefficient_co
	type	float32
	dimension	time, index_range, index_angle
	units	m-1 sr-1
	standard_name		attenuated_aerosol_backscatter_coefficient_co
	long_name	Attenuated backscatter coefficient (Planar Polarised)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

attenuated_aerosol_backscatter_coefficient_cr
	name	attenuated_aerosol_backscatter_coefficient_cr
	type	float32
	dimension	time, index_range, index_angle
	units	m-1 sr-1
	standard_name		attenuated_aerosol_backscatter_coefficient_cr
	long_name	Attenuated backscatter coefficient (Cross Polarised)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

depolarisation_ratio
	name	depolarisation_ratio
	type	float32
	dimension	time, index_range, index_angle
	units	1
	standard_name		depolarisation_ratio
	long_name	Depolarisation Ratio
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: mean
	coordinates	latitude longitude

qc_flag
	name	qc_flag
	type	byte
	dimension	time, index_range, index_angle
	units	1
	standard_name
	long_name	Data Quality flag
	flag_values	0b,1b, 2b, 3b, 4b, 5b, 6b, 7b, 8b, 9b
	flag_meanings	not_used|good_data|bad_data_data_values_outside_measurement_range_co_channel|bad_data_data_values_outside_measurement_range_cr_channel|bad_data_signal_below_instrument _threshold_co_channel|bad_data_signal_below_instrument _threshold_cr_channel|suspect_data_instrument_internal_temperature_outside_operational_range_low _(15C)|suspect_data_Instrument_internal_temperature_outside_operational_range_high_(40C)|bad_data_gate_index_exceeds_number_of_measurement_gates_in_use|suspect_data_time_stamp_error
