Variable	Attribute	Value	Proposed name	example value	notes
start_of_run
	name	start_of_run
	type	float32
	dimension	time
	units	seconds since 1970-01-01 00:00:00
	standard_name		start_of_run
	long_name	Start of run (seconds since 1970-01-01)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	coordinates	latitude longitude

run_length
	name	run_length
	type	float32
	dimension	time
	units	s
	standard_name		run_length
	long_name	Length of run
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	coordinates	latitude longitude

number_of_samples_in_run
	name	number_of_samples_in_run
	type	float32
	dimension	time
	units	1
	standard_name		number_of_samples_in_run
	long_name	Number of samples in run
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	coordinates	latitude longitude

licor_temperature
	name	licor_temperature
	type	float32
	dimension	time, index
	units	K
	standard_name		licor_temperature
	long_name	Licor Temperature (T)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: point
	coordinates	latitude longitude

air_pressure
	name	air_pressure
	type	float32
	dimension	time, index
	units	hPa
	standard_name	air_pressure
	long_name	Licor  Pressure
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: point
	coordinates	latitude longitude

mole_concentration_of_carbon_dioxide_in_air
	name	mole_concentration_of_carbon_dioxide_in_air
	type	float32
	dimension	time, index
	units	mmol m-3
	standard_name	mole_concentration_of_carbon_dioxide_in_air
	long_name	CO2 number concentration
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: point
	coordinates	latitude longitude

mole_concentration_of_water_vapor_in_air
	name	mole_concentration_of_water_vapor_in_air
	type	float32
	dimension	time, index
	units	mmol m-3
	standard_name	mole_concentration_of_water_vapor_in_air
	long_name	Water Vapour number concentration
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: point
	coordinates	latitude longitude

specific_humidity
	name	specific_humidity
	type	float32
	dimension	time, index
	units	kg kg-1
	standard_name	specific_humidity
	long_name	Specific_humidity (Q)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: point
	coordinates	latitude longitude

water_vapor_partial_pressure_in_air
	name	water_vapor_partial_pressure_in_air
	type	float32
	dimension	time, index
	units	Pa
	standard_name	water_vapor_partial_pressure_in_air
	long_name	Water Vapour Partial Pressure in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: point
	coordinates	latitude longitude

humidity_mixing_ratio
	name	humidity_mixing_ratio
	type	float32
	dimension	time, index
	units	1
	standard_name	humidity_mixing_ratio
	long_name	Water Vapour Mass Mixing Ratio (WVMMR)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: point
	coordinates	latitude longitude

sonic_temperature_theta
	name	sonic_temperature_theta
	type	float32
	dimension	time, index
	units	K
	standard_name
	long_name	Sonic Temperature (Theta) corrected for sidewind and humidity
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: point
	coordinates	latitude longitude

sonic_air_temperature
	name	sonic_air_temperature
	type	float32
	dimension	time, index
	units	K
	standard_name
	long_name	Sonic temperature (Ts) corrected for sidewind
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: point
	coordinates	latitude longitude

eastward_wind
	name	eastward_wind
	type	float32
	dimension	time, index
	units	m s-1
	standard_name	eastward_wind
	long_name	Eastward Wind Component (U earth frame)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: point
	coordinates	latitude longitude

northward_wind
	name	northward_wind
	type	float32
	dimension	time, index
	units	m s-1
	standard_name	northward_wind
	long_name	Northward Wind Component (V earth frame)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: point
	coordinates	latitude longitude

upward_air_velocity
	name	upward_air_velocity
	type	float32
	dimension	time, index
	units	m s-1
	standard_name	upward_air_velocity
	long_name	Upward Air Velocity Component (W earth frame)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: point
	coordinates	latitude longitude

eastward_wind_rotated_to_run
	name	eastward_wind_rotated_to_run
	type	float32
	dimension	time, index
	units	m s-1
	standard_name
	long_name	Eastward Wind Component (U rotated to run)
