Variable	Attribute	Value	Proposed name	example value	notes
mole_fraction_of_nitrous_oxide_in_air
	name	mole_fraction_of_nitrous_oxide_in_air
	type	float32
	dimension	time
	units	?		1|1e-3|1e-6|1e-9|1e-12	Units must be given
	practical_units	?		ppm|ppb|ppt|mmol mol-1|micro mol mol-1|nmol mol-1|pmol mol-1	Practical_units must be given and must match units multiplier
	standard_name	mole_fraction_of_nitrous_oxide_in_air
	long_name	Mole Fraction of Nitrous Oxide in air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: ????		mean or point
	coordinates	latitude longitude
	chemical_species	N2O

mole_fraction_of_sulfur_hexafluoride_in_air
	name	mole_fraction_of_sulfur_hexafluoride_in_air
	type	float32
	dimension	time
	units	?		1|1e-3|1e-6|1e-9|1e-12	Units must be given
	practical_units	?		ppm|ppb|ppt|mmol mol-1|micro mol mol-1|nmol mol-1|pmol mol-1	Practical_units must be given and must match units multiplier
	standard_name		mole_fraction_of_sulfur_hexafluoride_in_air
	long_name	Mole Fraction of Sulfur Hexafluoride in dry air
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods	time: ????		mean or point
	coordinates	latitude longitude
	chemical_species	SF6

qc_flag_n2o
	name	qc_flag_n2o
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: N2O
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |suspect_data_unspecified_instrument_performance_issues_contact_data_originator_for_more_information|suspect_data_time_stamp_error

qc_flag_sf6
	name	qc_flag_sf6
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag: SF6
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |suspect_data_unspecified_instrument_performance_issues_contact_data_originator_for_more_information|suspect_data_time_stamp_error
