Old Instrument Name	New Instrument Name	Descriptor	CEDA Instrument Record URL
aber-radar-1290mhz, man-radar-1290mhz	ncas-radar-wind-profiler-1	NCAS Mobile Radar Wind Profiler unit 1	NEEDS INVESTIGATION
	ncas-ceilometer-4	NCAS Lidar Ceilometer unit 4	NEEDS INVESTIGATION
aber-o3lidar, man-o3lidar	ncas-o3-lidar-1	NCAS Mobile O3 lidar unit 1	NEEDS INVESTIGATION
man-radiosonde	ncas-radiosonde-1	NCAS Vaisala Sounding Station unit 1	http://catalogue.ceda.ac.uk/uuid/8dff23de47ae4557a8989be0c05ed708
	ncas-rapidsonde-1	NCAS Windsond Sounding Station unit 1	NEEDS INVESTIGATION
man-3v-cpi	ncas-3v-cpi-1	NCAS 3 View Cloud Particle Imager unit 1	http://catalogue.ceda.ac.uk/uuid/f75cf07afe594c08aebee4c73b5a482b
man-cpi	ncas-cpi-1	NCAS Cloud Particle Imager unit 1	http://catalogue.ceda.ac.uk/uuid/723bb5e1edad4ad48f927759bdcf10cb
man-caps	ncas-caps-1	NCAS Cloud & Aerosol Particle Spectrometer unit 1	http://catalogue.ceda.ac.uk/uuid/77b018eb8f4648f283ec47d087cb2dea
man-ams	ncas-aerosol-mass-spec-1	NCAS Aerosol Mass Spectrometer unit 1	http://catalogue.ceda.ac.uk/uuid/98ab5fc9e63c403792e90e6b9b69e3c8
uom-3321aps-1	ncas-aps-1	NCAS Aerodynamic Particle Sizer unit 1	NEEDS INVESTIGATION
uom-3321aps-2	ncas-aps-2	NCAS Aerodynamic Particle Sizer unit 2	NEEDS INVESTIGATION
uom-3010cpc-1	ncas-cpc-3010-1	NCAS 3010 Condensation Particle Counter unit 1	NEEDS INVESTIGATION
uom-3010cpc-2	ncas-cpc-3010-2	NCAS 3010 Condensation Particle Counter unit 2	NEEDS INVESTIGATION
	ncas-cpc-3762-1	NCAS 3762 Condensation Particle Counter unit 1	NEEDS INVESTIGATION
	ncas-cpc-3762-2	NCAS 3762 Condensation Particle Counter unit 2	NEEDS INVESTIGATION
	ncas-cpc-3762-3	NCAS 3762 Condensation Particle Counter unit 3	NEEDS INVESTIGATION
	ncas-cpc-3762-4	NCAS 3762 Condensation Particle Counter unit 4	NEEDS INVESTIGATION
